Population,Amerindian,Ancestor,Steppe,Indian,Arctic,Australian,Caucasian,EastAfrican,NorthEastEuropean,NearEast,Neolithic,NorthAfrican,Oceanic,Siberian,SouthEastAsian,Subsaharian
Avar,2.15,0,16.92,11.72,0.1,0.16,46.78,0.77,9.23,1.12,6.56,0,0.54,3.95,0,0
Azerbaijani,0.85,0.26,12.59,10.52,0,0.64,47.9,0.09,3.82,7.02,8.62,1.44,0.27,3.24,1.39,1.35
Azerbaijani_Agdzhabedi,0.2,0.5,10.91,10.21,0,0.17,46.77,0,3.35,6.76,9.57,2.43,0.8,4.55,3.79,0
Azerbaijani_Dagestan,0.61,0.61,12.66,11.82,0.61,0.67,49.22,0.48,6.03,8.06,6.45,1.28,0,0.89,0.61,0
Jew,0.71,0.44,9.04,9.81,0.19,0.22,50.07,1.05,0.55,11.35,12.8,2.81,0.25,0.39,0.2,0.12
Azerbaijani_Khachmaz,1.18,0.15,12.5,12.29,0,0.04,45.31,0.86,4.66,5.14,9.04,2.49,0,3.81,2.53,0
Azeri,0.56,0.66,10.42,14.03,0.23,0.26,46.23,0.39,2.14,7.25,10.33,1.44,0.45,2.62,1.89,1.09
Azerbaijani_Dagestan,0.85,0.14,15.19,13.75,0.41,0,47.74,0.04,4.73,3.7,8.4,0.66,0.13,1.71,0.67,1.87
Bajo,0,0.16,0,6.4,0.14,9.92,0,0.59,2.02,0.88,0.24,0.06,5.73,2.44,71.2,0.23
Azerbaijani,0.06,0.67,8.01,14.76,1.32,0,54.76,0,4.06,7.36,6.04,0,2.39,0,0,0.56
Balija,1.45,0,2.88,63.03,0,3.21,9.28,1.85,0,1.43,0,0.44,2.12,2.37,11.26,0.68
Balkar,0.86,0.33,20.8,3.4,0.71,0.28,54.52,0,4.11,0.64,6.16,0.07,0.22,3.96,3.23,0.71
Balochi,0.36,0.14,6.87,49.65,0.76,0.16,35.54,0.46,0.69,2.09,0.44,0.4,0.45,0.45,0.48,1.07
Bantu,0,10.44,0,1.25,0.38,0.13,0,3.37,0,0.3,1.39,0.45,0.24,0,0.09,81.96
Bantu,0.32,7.92,0,0,0,0.4,1.07,3.53,1.24,0,0,1.61,0,0.71,0.6,82.6
Bantu,0.04,22.22,0,1.26,1.16,0,0.42,4.29,0.77,0.23,0,0,0.35,0,0.12,69.14
Bantu,0,22.22,0,1.21,0,0,0,2.15,0.13,0,1.58,0,0.7,1.2,0.59,70.22
Bantu,0,25.72,0,0.17,0.66,0.08,0.84,1.4,0.56,0.63,0.32,0.21,0.28,0.22,0,68.91
Bantu,0,17.03,0,0.4,1.86,0,0.61,3.66,0.83,0.04,0.41,0,0,0.91,0,74.25
Bantu,0.45,5.31,0.09,0.93,0.29,0.13,0.18,17.06,1.01,0.44,0,0.12,0.1,0.36,0.24,73.29
Bashkir,1.52,0.62,13.82,5.54,3.69,0.14,14.49,0.25,16.54,0.17,7.69,0.09,0.26,24.17,9.57,1.44
Bashkir,1.83,0,15.38,7.3,2.54,0.69,12.82,1.07,17.1,0,9.95,0.41,0.09,24.35,6.05,0.41
Bashkir,2.15,0,15.3,6.27,4.67,0,13.34,0.02,21.01,0,11.3,0.09,0.98,18.52,6.07,0.28
Bashkir,2.36,0.21,14.63,7.19,3.63,0.26,13.54,0,18.73,0,9.11,0,0,19.86,9.31,1.17
Bashkir,2.77,0.43,14.94,4.96,4.85,0,13.71,0.82,14.69,0.06,6.34,0.05,0,24.32,12.06,0
Bashkir,2.01,0.42,13.47,5.53,5.52,0,13.62,0,16.24,0,7.49,0,0.65,24.11,10.93,0
Basque,0.17,0.31,28.48,1.32,0.29,0.32,0.54,0.28,14.76,0.66,51.3,0.28,0.24,0.24,0.57,0.24
Basque,0.3,0.3,27.51,0.84,0.31,0.12,0.18,0.21,15.45,0.6,52.36,0.79,0.36,0.2,0.27,0.2
Batak,1.14,1.39,0,11.83,1.58,8.3,0.23,0.21,1.65,0.25,0.98,0,7.24,3.22,60.61,1.37
BedouinA,0.62,0.16,3.13,1.75,0.49,0.47,38.7,6.41,0.5,24.16,10.96,7.99,0.54,0.57,0.32,3.23
BedouinB,0.07,0.7,8.47,0.43,0.38,0.13,7.78,0.31,0,76.96,2.59,0.71,0.37,0.22,0.3,0.58
Belarusian,0.23,0.23,20.02,0.66,0.11,0.1,20.49,0.33,34.28,0.04,20.86,0.38,0.21,1.34,0.44,0.25
Belarusian_East,1.05,0.07,17.87,1.81,0.95,0.14,21.14,0.8,32,0,19.96,1.59,0.65,1.88,0.1,0
Belarusian,0.72,0.12,21.08,0.87,0.59,0.85,19.24,0.52,32.51,0,21.51,0.3,0.6,0.9,0,0.19
Belarusian_West,0.82,0,17.06,2.01,0.74,0,21.87,0.22,32.81,0.43,20.71,0.94,0.53,1.29,0.18,0.39
Belarusian,0.71,0,18.57,0.23,0,0,18.95,0,33.93,0,23.87,0.45,0.09,2.68,0,0.51
Jew,0,0.73,11.38,1.7,0,0,29.6,0.56,11.11,6.84,27.53,8.07,0.98,0.06,0,1.45
Bengali,0.52,0.23,0.27,69.93,0.66,2.63,0.45,0.86,0.29,0.15,3.17,1.41,1.1,2.14,15.96,0.23
Bhil,0.44,0.33,0.42,66.61,0.4,3.87,3.41,1.88,0.33,0.43,1.4,1.58,2.58,3.23,12.66,0.44
Bhunjia,0.16,0.9,0,53.35,1.9,5.22,0,2.16,0,0,2.48,0.75,3.21,2.31,27.19,0.37
Biaka,0.26,45.69,0,0.81,0.46,0.37,0.24,0,1.14,0.66,0.59,0.01,0.11,0.25,0.25,49.15
Bolivian,88.08,0.62,2.7,0.31,0.41,0.66,0.07,0.87,0.68,0.01,3.79,1.79,0.01,0,0,0
Bolivian,92.51,0.49,0.19,0.77,1.17,0.06,0.85,0.87,0.14,0.47,1.29,0.95,0.03,0.21,0,0
Bolivian,85.16,0.45,0.97,1.07,1.44,0.2,1.51,0.56,1.51,0.42,4.42,1.49,0.68,0,0.12,0
Bonda,0.09,0.48,0,45.7,0.83,4.71,0,2.13,0.37,0,0.44,2.36,3.37,3.22,35.81,0.49
Bosnian,0.42,0.4,16.78,1.37,0.1,0.15,26.6,0.09,24.64,1.66,24.84,0.61,0.25,0.84,0.53,0.72
Melanesian,0.53,0.03,0,4.67,0.28,7,0,0,3.56,1.46,0.06,1.66,75.2,0.84,3.68,1.03
Brahmin,2.47,0.59,8.69,51.41,0,1.62,17.6,0.86,4.94,0,1.72,0.17,1.15,1.77,6.11,0.9
Brahmin,0.29,0.9,3.42,60.39,1.2,1.59,17.94,0.05,1.93,0.68,0,0.27,1.88,1.67,7.17,0.62
Brahmin,1.05,0.28,8.01,55.98,0.29,1.84,14.43,0.74,4.56,0.12,1.08,0.67,1.25,1.77,6.86,1.07
Brahmin,1.11,0.53,5.74,41.17,0,0.59,12.75,1,0.14,0,0,0,1.68,11.1,23.58,0.61
Brahui,0.66,0.26,6.75,49.71,0.5,0.28,35.56,0.63,0.46,2.4,0.33,0.36,0.37,0.4,0.29,1.04
Bulgarian,0.36,0.28,14.62,0.1,0.58,0.44,32.83,0.57,20.7,1.43,25.06,1.04,0.58,0.65,0.52,0.24
Jew,0.15,0.44,10.12,0.75,0.01,0.46,38.87,2.39,6.47,9.92,23.25,5.74,0.49,0.79,0.15,0
Bulgarian,0.39,0.65,15.83,0.15,0.28,0.2,31.96,0.51,19.54,3,25.2,1.13,0.25,0.7,0.19,0.02
Berber,0.4,0,2.79,0,0.05,0.48,7.57,5.78,1.52,10.05,13.74,50.42,0.63,0.5,0.3,5.77
Burmese,0.44,0.33,0.51,17.15,0.37,2.05,0.37,0.72,0.17,0.14,0.39,0.72,1.27,14.9,59.67,0.8
