Population,Amerindian,Ancestor,Steppe,Indian,Arctic,Australian,Caucasian,EastAfrican,NorthEastEuropean,NearEast,Neolithic,NorthAfrican,Oceanic,Siberian,SouthEastAsian,Subsaharian
Hakkipikki,0.02,0.35,0.59,67.75,1.01,3.93,2.72,1.54,0,0.95,0.31,1.61,2.23,2.54,13.51,0.94
Hallaki,0.59,0.79,0.9,63.26,1.09,3.25,8.66,1.18,0.88,0.64,0.42,1.55,2.62,2.56,11.53,0.08
Han,0.29,0.21,0.84,0.35,0.16,0.25,0.69,0.21,0.27,0.44,0.23,0.32,0.29,13.66,81.62,0.17
Han,0.32,0.31,1.3,0.88,0.02,0.27,1.38,0.38,0.08,0.41,0.2,0.51,0.1,23.25,70.52,0.07
Hazara,0.67,0.37,9.67,16.02,1.03,0.35,16.77,0.23,4.21,0.8,2.07,0.15,0.29,24.42,22.81,0.14
Hazara,1.74,0.59,9.86,23.09,1.04,0.46,23.49,0,4.96,0.82,2.15,0.32,0.64,15.38,14.64,0.82
Hezhen,0.33,0.3,0.9,0.12,3.21,0.81,0.92,0.4,0.32,0.61,0.22,0.69,0.16,43.81,47.2,0
Ho,0.36,0.47,0,51.73,0.46,4.97,0,1.54,0.31,0.15,0.88,2.41,3.06,2.34,30.64,0.64
Hungarian,0.49,0.43,17.81,0,0.21,0.49,23.49,0.15,28.82,0.64,24.36,0.72,0.33,1.18,0.67,0.21
Hungarian,0.52,0.1,16.35,0.44,0.57,0.23,25.16,0.56,29,0.57,23.87,0.48,0.38,0.96,0.62,0.19
Hungarian,0.33,0.43,21.44,0.16,0.09,0,19.44,0.8,27.07,2.36,24.89,1.16,0.87,0.93,0.02,0
Icelandic,0.51,0.18,24.88,1.04,0.14,0.08,13.62,0.22,30.4,0.21,26.63,0.48,0.43,0.56,0.37,0.24
Igorot,0,0.18,0,0,0.13,0,1.2,0.33,0.48,0.24,0.81,0,3.79,2.92,89.85,0.07
Ingrians,0.6,0.3,21.52,0.46,0.9,0,14.9,0.19,34.81,0,20.37,0.01,0.95,4.99,0,0
Iraki,0.08,0.64,9.7,11.48,0.41,0,45.9,1.54,0,12.91,11.64,2.02,0,3.15,0,0.52
Iranian,0.59,0.68,7.83,30.82,0.09,0.49,39.69,1.2,1.74,6,2.98,0.56,0.58,0.58,0.91,5.27
Iranian,0.95,0.44,10.53,18.98,0.55,0.35,47,0.6,2.29,7.3,7.07,1.34,0.24,1.06,0.97,0.32
Jew,0.33,0.26,4.48,9.7,0.46,0.27,57.02,0.64,0.21,12.48,10.51,2.31,0.17,0.79,0.34,0.03
Iran_Lor,0.32,0.17,10.26,17.55,0.59,0.35,47.57,1.14,1.63,9.02,7.93,1.19,0.34,1.18,0.44,0.32
Iran_Mazandrani,0.79,0.28,10.61,23.14,0.08,0.28,50.08,0.19,0.97,6.49,4.68,0.52,0.22,0.68,0.48,0.51
Zoroastrian,0.47,0.44,11.29,18.96,0.78,0.31,46.26,0.46,3.13,6.89,8.27,1.46,0.25,0.45,0.19,0.39
Iranian,0.73,0.23,10.02,18.83,0.44,0.51,47.29,0.74,1.68,8.12,7.03,1.09,0.26,1.25,0.93,0.86
Iranian,0.43,0.39,8.92,19.4,0.5,0.56,44.43,1.37,1.84,8.94,7.67,1.09,0.34,0.67,0.76,2.69
Jew,0.71,0.33,3.79,6.55,0.06,0.31,57.04,1.64,0,14.36,12.61,1.06,0.86,0.13,0.52,0.03
Irish,1.49,0.24,20.79,4.2,0.17,0.17,15.97,0.32,25.8,0.82,25.23,1.45,0.55,1.05,0.02,1.72
Irish,0.99,0.22,23.68,1.08,0,0.48,16.83,0.22,25.82,0.07,28.63,0.37,0.32,0.89,0.27,0.12
Irish,0.98,0.32,24.02,2.37,0.11,0.42,16.5,0.31,25.32,0.32,28.08,0.51,0.17,0.42,0,0.15
Irish,0.5,0.1,23.03,2.78,0.27,0.22,16.66,0.05,25.32,0.08,28.41,1.06,0.21,1.03,0,0.28
Irish,0.93,0.05,23.39,2.15,0.47,0.11,17.58,0.09,25.95,0.02,27.23,0.51,0.48,0.84,0.04,0.15
Irish,0.77,0.52,23.35,2.39,0.29,0.43,15.86,0,25.97,0,28.69,0.33,0.11,0.77,0.12,0.4
Ishkasim,2.19,0.38,15.75,29.41,0.21,0.39,28.18,0,9.41,0.31,4.65,0,0.83,5.14,2.89,0.25
Italian,0.44,0.24,15.28,0.19,0.37,0.1,27.41,0.16,15.64,1.76,35.2,1.59,0.9,0.3,0.38,0.03
Jew,0.3,0.15,9.05,0.44,0.16,0.53,38.7,2.46,5.84,10.59,24.35,5.88,0.87,0.26,0.25,0.18
Italian,0.18,0.08,11.9,0.93,0.56,0.17,37.76,0.83,8.74,6.44,26.22,4.31,0.68,0.61,0.51,0.07
Italian,0.72,0.21,14.49,0,0.4,0.33,31.83,0.43,12.79,3.5,31.79,1.98,0.51,0.2,0.65,0.18
Italian,0.6,0.24,14.94,0.52,0.19,0.25,27.06,0.28,18.35,2.39,28.15,2.07,0.58,1.11,0.56,2.72
Italian,0.36,0.34,13.46,0.22,0.18,0.51,35.36,0.84,10.91,7.14,26.45,3.4,0.22,0.4,0.16,0.05
Italian,0.54,0.27,13.67,0.33,0.15,0.27,29.02,0.27,14.61,4.13,29.7,2.62,0.67,1.08,0.47,2.2
Itelmen,0,0.34,0.32,1,91.19,0.21,0,0.57,0.51,0.26,0.26,0.89,0.42,2.64,1.39,0
Japanese,0.94,0.12,0.29,0.5,0.46,0.56,0.81,0.31,0.04,0.28,0.57,0.6,0.2,27.55,66.6,0.17
Jatt,1.59,0,12.66,43.86,0,0,23.19,0,6.39,0,2.73,0,1.25,2.48,3.56,2.3
Jatt,1.33,0,9.43,51.43,0.94,1.43,19.62,0.44,3.15,0.72,1.58,0,1.39,2.1,4.91,1.53
Jatt,0.24,0.3,8.26,50.02,2.92,1.69,23.69,0,4.13,0.52,1.95,0,1.01,0.77,3.7,0.8
Jordanian,0.05,0.25,5.06,4.91,0.25,0.15,44.38,4.49,1.4,15.45,13.49,6.23,0.44,0.03,1.45,1.97
Ju_hoan_North,0.11,83.39,0,1.55,0.47,0.4,0,0.47,2.06,2.32,0.08,1.37,0.05,0,0.14,7.59
Juang,0,0.35,0,46.24,0.29,5.69,0,0.84,0,0.42,0.51,0.87,2.68,3.24,37.54,1.33
Kabardin,0.71,0.55,15.85,8.16,0.77,0.01,46.26,0,6.72,3.43,8.92,0.84,0.33,4.98,1.74,0.74
Kalash,0.76,0.33,3.23,61.48,0.67,0.11,22.7,0.04,9.02,0,0.29,0.09,0.31,0.54,0.18,0.25
Kalmyk,1.03,0.32,6.15,1.8,1.78,0.31,6.24,0.39,4.68,0.41,1.71,0.34,0.24,44.32,29.97,0.32
Kamsali,0.2,0.99,0.71,65.23,1.38,3.35,7.09,1.37,0,1.14,0.07,0.8,2.49,1.9,13.28,0
Kanjars,0,0.9,2.35,63.44,0.68,2.24,14.54,0.39,0.18,0,0,2.94,1.52,0.69,10.13,0
Kapu,0,0,0.66,62.46,1.12,4.13,6.85,1.27,0,1.62,0,0.34,2.74,2.21,14.8,1.8
Karakalpak,0.8,0.56,8.83,6.75,2.45,0.74,16.34,0.11,8.11,0.35,5.35,0.54,0.47,27.28,20.14,1.17
Karelian,0.97,0.46,19.33,1.23,0.58,0.1,13.48,0.34,34.42,0.03,19.27,0.17,0.4,7.53,0.05,1.63
Karitiana,95.54,0,0.21,0.99,0.05,0,0,1.24,0.04,0.59,0.24,0.07,0,0,1.03,0
Kashmiri_Pandit,1.06,0.47,10.07,48.58,0.91,1.73,24.02,0.12,2.46,0.83,0.28,0,0.72,2.26,6,0.49
Kazakh,0.91,0.12,9.34,4.99,3.25,0.7,11.51,0,4.82,0,4.74,1.64,0,31.36,26.09,0.53
Kazakh,1.36,0,8.37,5.7,2.54,1.21,11.74,0.07,7.88,0.36,2.33,1.02,0.1,33.08,24.24,0
Kazakh,1.87,0.2,9.31,5.24,2.98,0.53,12.28,0,7.73,0,4.67,0,0,31.9,23.16,0.14
Ket,4.77,0.36,12.55,6.99,10.23,0.38,3.44,0.03,14.39,0,0,0,0.14,44.14,2.04,0.55
Khanty,4.25,0.22,14.81,6.33,9.57,0,6.8,0.09,18.79,0,0.53,0,0.4,38.21,0,0
Kharia,0.43,0.88,0,49.71,0.35,5.02,0,1.64,0.32,0.77,0.41,1.84,3.42,2.21,32.41,0.58
Khasi,0.48,0.84,1.06,28.1,0.96,3.28,0.57,0.63,0.69,0.61,0.34,0.81,0.95,10.74,49.11,0.83
Khomani,0.06,66.19,0,3.41,0.47,0.41,0.57,3.64,3.03,3.4,1.42,1.78,0.06,0.39,0.4,14.77
Kikuyu,0.17,3.44,0,0.31,0.9,0.12,2.41,33.16,0.39,7.25,0,2.55,0.22,0.34,0.24,48.5
Kinh,0.22,0.1,0.34,3.21,0.97,0.57,0.38,0.04,0.62,0.37,0.7,0.33,0.79,4.08,86.47,0.81
Koinanbe,0,0.01,0,5.98,0.66,73.17,0,0,2.2,2.18,0,0.64,10.02,0.99,2.83,1.31
Kol,0.63,0.62,1.87,66.4,0.34,3.57,5.43,0.35,1.15,0.1,0.05,1.32,2.13,2.99,12.48,0.62
Komi,1.66,0.31,18.48,2.94,2.21,0.01,15.55,0.38,28.26,0.12,14.16,0.27,0.24,13.17,0.54,1.71
Korean,0.63,0.21,0.6,0,0.18,0.23,0.6,0.49,0.23,0.46,0.24,0.19,0.04,27.45,68.31,0.14
Koryak,0.13,0.59,0.32,0.68,84.59,0.11,0.28,0.46,0.47,0,0.11,0.68,0.3,9.58,1.7,0
Kosipe,0.28,0,0,6.94,0.04,69.63,0,0,2.73,1.48,0,1.67,10.78,0.15,4.34,1.96
Kosovar,0.29,0.5,13.67,0.59,0.07,0.04,33.43,0.42,16.14,3.6,28.26,1.39,0.59,0.67,0.16,0.18
Kryashen,1.09,0,16.37,2.75,0.92,0.03,18.74,1.32,25.65,1.13,16.37,0.03,0,11.03,3.01,1.57
Kshatriya,0.54,0.45,7.12,55.06,0.29,1.93,16.02,0.43,3.75,0.07,2.4,0.47,1.36,2.76,6.78,0.52
Kuki,0.18,0.88,1.1,9.8,0.78,1.73,0,0.44,0,0,0.4,0.95,0.01,19.16,63.92,0.65
Kumyk,0.51,0.25,18.59,6.83,0.65,0.51,53.16,0.16,6.51,1.29,6.22,0.27,0.15,2.93,1.45,0.52
Kurd,0.69,0.78,10.75,14.81,0.14,0.37,48.24,0.58,2.15,8.73,10,1.1,0.26,0.95,0.32,0.13
Jew,0.35,0.33,7.25,10.55,0.4,0.23,49.43,1.8,0.65,12.54,12.15,2.26,0.29,0.91,0.49,0.36
Kurmi,2.06,0.44,4.32,63.92,0.43,1.53,10.98,0.35,0.13,0,0.5,0.21,2.04,0.25,11.95,0.91
Kurumba,0.46,0.66,0.51,63.66,1,3.94,6.85,1.8,0.18,0.67,0.38,1.81,2.7,2.54,12.55,0.29
Kusunda,0.72,0.56,0,27.67,0.08,2.69,0,0.65,0.22,0.13,1.61,0.79,0.45,17.46,46.74,0.23
Kyrgyz,1.05,0.48,8.21,5.5,2.53,0.29,10.52,0.44,5.37,0.48,2.56,0.35,0.35,34.78,26.66,0.44
Kyrgyz,1.13,0.21,9.26,5.8,3.61,0.15,8.05,0.32,4.72,0.71,3.59,0,0,34.36,28.09,0
Kyrgyz,1.91,0,7.54,5.27,3.63,0,9.8,0.94,5,0,2.19,1.67,0,34.91,27.14,0
Kyrgyz,0.22,0,8.54,7.02,3.14,0.65,14.14,0.4,6.62,0.27,2.55,0,0.11,30.7,25.03,0.62
Kyrgyz,1.1,0.22,7.53,7.36,1.46,0,9.74,0,3.52,1.19,2.7,0.36,1.63,34.2,28.38,0.61
Lahu,0.45,0.38,0.3,2.48,0.9,1.82,0.3,0.43,0.44,0.16,0.69,0.25,0.24,7.69,83.13,0.34
Lak,1.25,0.52,20.3,12.13,0.64,0.17,44.76,0,8.29,1.95,6.21,0.12,0.18,1.05,0.09,2.34
Lambadi,0,0.63,3.22,61.42,0,2.6,12.63,0.67,1.17,0,0.27,0.78,1,2.13,12.82,0.67
Latvian,0.81,0.58,19.44,0.69,0.05,0.63,16.34,0.08,38.09,0,20.75,0.1,0.03,1.79,0.07,0.6
Latvian_Cesis,0.6,0,21.02,0.89,2.03,0,17.11,0,38.38,0,16.43,0.92,0.67,1.4,0,0.56
Latvian_Dobele,0.2,0.34,20.95,1.01,0.99,0.68,15.11,0.49,38.24,0,20.47,0,0,1.53,0,0
Lebanese,1.24,0.1,5.91,5.07,0.74,0.56,49.88,2.99,1.62,11.91,12.28,4.16,0.37,1.68,0.39,1.13
Lebanese_Christian,0.13,0.05,6.62,3.58,0.58,0.42,46.94,2.39,1.56,13.65,17.43,5.43,0.58,0.38,0.15,0.11
Lebanese_Muslim,0.27,0.23,7.58,5.33,0.42,0.25,45.23,2.52,1.95,13.79,15.44,4.45,0.75,0.56,0.26,0.97
Lebbo,0,0,0,4.9,1.52,3.24,0.37,0.36,2,0.09,0.8,0.02,4.73,0.38,80.71,0.86
Lezgin,0.67,0.07,19.02,13.32,0.42,0,46.47,0.06,8.1,2.65,6.49,0,0.07,2.21,0,0.44
Libyan,0.32,0,3.6,0.21,0.4,0.33,24.25,7.18,0.79,23.2,13.18,17.03,0.2,0.2,1.27,7.86
Jew,0.6,0.22,3.6,0.32,0.34,0.32,41.33,1.96,3.53,10.76,21.74,13.56,0.72,0.27,0.28,0.46
Lithuanian,0.22,0.28,19.65,0.24,0.12,0.13,18.86,0.16,37.79,0.06,19.71,0.12,0.63,1,0.21,0.83
Lodi,0.3,0.43,2.61,64.49,1.34,3.17,8.35,1.14,0.73,0.82,0.93,0.79,2.49,1.28,10.82,0.31
Luhya,0.15,4.68,0.25,0.88,0.49,0.14,0.12,18.41,0.71,1.06,0.29,0.07,0.18,0.61,0.2,71.76
Luo,0.42,5,0.21,1.37,0.36,0.22,0.02,19.66,0.88,0.85,0.11,0,0.07,0.17,0.4,70.25
Luzon,0.43,0.21,0,3.12,0.91,1.19,0.31,0.47,0.71,0.14,0.41,0,4.4,2.49,84.96,0.25
Macedonian,0.25,0.34,16.2,0.16,0.04,0.29,30.9,0.71,19.6,2.74,26.21,0.76,0.41,0.77,0.37,0.25
Brahmin,0,0.36,1,60.55,2.29,4.07,3.57,1.29,0.05,0,0.38,1.43,2.31,0.99,21.66,0.05
Madiga,0.11,0.37,0,67.7,0.46,3.64,2.96,1.64,0.02,0.15,0.91,1.88,2.83,2.68,13.57,1.08
Makrani,0.47,0.31,5.76,45.1,0.53,0.25,38.25,0.52,0.29,3.75,0.46,0.18,0.4,0.38,0.19,3.16
Malayan,0.43,0.51,0,63.84,0.31,4.4,0,1.99,0,0.59,1.57,2.04,3.54,3.33,17.16,0.27
Maltese,0.36,0.09,9.85,0.09,0.4,0.36,37.2,1.57,9.29,5.79,25.98,7.15,0.35,0.73,0.2,0.6
Mandenka,0.26,0.4,0.36,0.64,0.22,0.34,0.23,1.29,0.13,0.74,0.17,4.04,0.08,0.18,0.84,90.08
Mansi,2.62,0.13,17,3.8,8.13,0.2,3.7,0.72,22.32,0.43,0.72,0.08,0.51,39.61,0,0.04
Mari,1.58,0.36,15.98,3.54,4.66,0.18,14.36,0.34,25.97,0.09,9.99,0.05,0.17,20.63,1.57,0.53
Marwadi,0,0.7,1.82,66.68,0.31,3.35,13.81,0,0,0,0,0.64,0.31,3.05,8.87,0.46
Maasai,0.3,6.04,0,2.35,0.47,0,3.4,30.82,0.31,9.92,0.1,4.93,0.37,0.12,0.47,40.4
Maasai,0.17,2.54,0.11,1.49,0.54,0.17,0.36,52.53,0.87,9.89,0.5,1.98,0.28,0.28,0.31,27.98
Mawasi,0.49,0,0,53.28,1.49,6.03,0,2.31,0,0,0.6,3.17,2.43,3.19,26.36,0.65
Mayan,87.9,0.2,1.15,0.66,0.66,0.55,1.48,0.82,0.99,0.28,2.09,1.02,0.2,0.49,0.84,0.67
Mbuti,0.37,68.14,0,1.83,0.57,0.13,0.79,0.22,1.36,1.15,0,0.61,0,0.08,0.45,24.3
Meena,1.81,0.34,6.18,56.84,0.19,0.98,20.16,0,2.8,0,0.07,0.51,2.44,0.43,5.95,1.29
Meghawal,0.94,0.6,5.32,58.81,0.62,2.16,13.98,1.09,1.78,0.52,0.75,0.67,2.17,2.66,7.39,0.54
Mende,0.2,3.22,0.82,0.43,0.29,0.2,0.26,0.18,0.57,0.3,0.52,0.68,0.18,0.13,0.54,91.48
Miao,0.44,0.15,0.71,0.64,0.14,0.2,0.43,0.1,0.38,0.35,0.39,0.09,0.48,12.28,82.99,0.23
Mishar-Tatar,1.86,0,17.45,4.67,0,0,20.52,0.44,26.17,0.82,13.59,0.55,0,11.31,2.23,0.4
Mixe,94.76,0.39,0.6,0.42,0.33,0.03,0.19,0.35,0.25,0.07,0.26,0.23,0.3,1.15,0.67,0
Mixtec,91.46,0.38,0.89,0.3,0.33,0.3,0.67,0.48,0.8,0.1,1.36,0.67,0.5,0.94,0.51,0.31
Mizo,0,0.78,1.24,9.71,0.62,1.77,0.01,0.81,0.32,0,0.48,0.47,0.53,18.49,64.1,0.67
Moldavian,0.57,0.12,16.71,0.79,0.6,0.29,27.06,0.41,21.99,2.26,24.4,1.99,0.55,1.35,0.91,0
Mongol,1.03,0.57,3.55,0.46,1.83,0.35,6.49,0.09,2.36,0,1.2,0,0,43.85,37.89,0.33
Mongola,1.19,0.24,2.54,0.04,0.43,0.27,2.04,0.59,0.39,0.56,0.51,0.66,0,31.31,59.1,0.13
Mongolian,1.41,0.98,5.59,2.79,3.57,0.42,5.99,0.3,3.47,0.4,1.71,0.29,0.26,41.69,30.96,0.18
Montenegrian,0.68,0.39,16.08,0.19,0.18,0.04,28.84,0.34,21.12,2.73,26.47,0.95,0.54,1,0.11,0.34
Moroccan,0.24,0.29,2.79,0,0.4,0.42,15.15,6.45,2.22,13.16,15.79,27.74,0.32,0.3,0.71,14.01
Jew,0.51,0.17,7.59,0.29,0.72,0.2,38.72,1.36,4.26,9.62,23.63,10.87,0.53,0.07,0.96,0.51
Mozabite,0.16,0.43,4.82,0.3,0.56,0.28,5.31,0.43,0.99,2.94,6.29,73,0.4,0.36,0.16,3.57
Jew,0.38,0.27,4.17,43.31,0.33,1.99,26.15,1.7,0.81,5.03,4.49,2.03,1.21,1.99,5.78,0.37
Munda,0.04,1.08,0,49.75,0.7,4.61,0,1.68,0.03,0,1.4,1.18,3.16,3.62,32.06,0.69
Murut,0,0.25,0,4.34,1.41,0.05,0,0.37,0.85,0.32,0.04,0.11,3.94,1.61,86.53,0.17
Muslim,0.36,0.64,3.69,62.75,0.01,2.35,11.53,1.09,1.48,0.03,0.49,0.45,1.66,2.78,10.41,0.29
Naga,0.87,0.96,0,4.17,0.98,1.86,0,0.24,0,0,0.26,1.21,0.29,26.04,62.89,0.23
Naidu,0.12,0.61,1.26,64.61,0.42,2.5,10.68,1.68,0,0.98,0,1.03,2.82,1.57,11.72,0
Naxi,0.06,0.25,0.89,2.64,0.4,1.41,0.22,0.42,0.26,0.35,0.52,0.4,0.04,22.23,69.7,0.2
Nenets,1.77,0.49,7.89,3.59,9.69,0.08,3.82,0.55,14.49,0.03,1.46,0.4,0.27,53.35,0.94,1.17
Tundra_Nenets,1.29,0.49,8.14,3.68,10.74,0,1.8,1.03,12.9,0,0.24,0.52,0.22,57.08,1.48,0.38
Nganasan,0.8,0.03,1.19,1.16,10.89,0,0,1.03,7.13,0.03,0,0.31,0.96,74.33,2.14,0
Nihali,0.66,0.55,0,62.13,0.52,4.17,0.16,2.33,0,0.05,1.85,0.83,3.03,2.71,20.45,0.56
Nivkh,0.85,0.42,0.12,0.76,14.47,0.35,1.21,1.36,0.36,0.34,0.66,0.1,0.65,49.24,29.12,0
Nogai,0.84,0,17.5,4.69,0.07,0.23,39.31,0.36,8.33,0,6.97,0.67,0.11,11.6,8.77,0.55
Ossetian,0.23,0.02,16.17,8.61,0.55,0.14,52.31,0.2,4.5,1.61,8.04,0,0.31,3.42,3.33,0.56
North_Kannadi,0.43,0.73,0.47,67.62,1.33,3.61,3.51,1.63,0.68,0.57,0.51,0.71,2.57,2.02,12.79,0.82
Norwegian,0.53,0.24,24.4,0.75,0.42,0.34,14.42,0.15,30.32,0.08,26.81,0.36,0.16,0.71,0.08,0.23
Nyishi,0.54,0.92,0.95,5.8,0.75,0.95,0,0.5,0.29,0.3,0.68,0.52,0.91,26.64,60.21,0.04
Onge,1.4,0.97,0,35.14,1.29,9.88,0,3.93,1.22,0.46,2.32,1.29,6.06,7.01,28.24,0.79
Orcadian,0.87,0.14,25.64,0.82,0.26,0.19,14.34,0.32,28.1,0.29,27.6,0.27,0.34,0.21,0.24,0.37
Orissa,0.72,0,2.58,60.2,0.46,4.51,7.09,0.96,2.03,0,0.38,1.06,2.11,2.61,14.11,1.18
Oroqen,0.25,0.21,0.32,0.31,3.92,0.35,1.32,0.3,0.97,0.28,0.7,0.16,0.11,54.3,36.48,0.02
Pashtun,1.36,0,9.74,41.22,0.74,0.64,29.13,1.66,3.85,2.78,1.74,0,1.03,2.46,3.65,0
Palestinian,0.39,0.16,3.65,2.65,0.35,0.46,45.3,4.69,0.98,18.61,13,6.51,0.56,0.57,0.41,1.71
Paniya,0.06,0.63,0,62.67,0.62,5.21,1.14,2.27,0,0.1,0.5,1.41,3.72,3.52,17.54,0.61
Papuan,0.63,0.02,0,3.61,0.24,86.29,0,0,2.83,1.44,0.08,1.25,0.48,0.41,1.39,1.33
Pashtun,1.03,0.49,13.25,31.78,0.86,0.73,30.92,0.07,5.92,1.75,2.42,0.34,0.72,5.31,3.18,1.23
Pathan,1.1,0.22,10.7,49.33,0.73,0.68,26.07,0.21,4.21,0.7,1.18,0.05,0.57,1.57,2.23,0.44
Piapoco,95.32,0.23,0.44,1.56,0,0.16,0,0.53,0,0,0.3,0.62,0.06,0,0.78,0
Pima,90.32,0.61,1.01,1.15,1.76,0.24,0,0.52,0.13,0.23,1.22,0.92,0.2,0.78,0.91,0
Piramalai_Kallars,0.22,0.66,0.39,66.5,0.24,3.09,9.14,1.23,0,0.31,0.09,1.03,2.61,2.26,11.61,0.62
Pole,0.53,0.54,19.2,1.14,0,0,21.76,0,30.19,0,23.32,0.51,1.12,1.65,0,0.03
Pole,0.87,0,19.9,0.3,0,0.69,21.31,0.01,33.48,0,20.25,0,0,2.16,0.4,0.62
Pole,0.84,0.19,20.26,0.71,0.22,0.14,21.33,0.24,29.9,0.18,24.16,0.4,0.34,0.62,0.24,0.24
Pole,0.49,0.29,19.65,0.64,0.88,0.28,20.54,0.27,31.11,0.2,23.73,0.32,0.24,0.83,0.16,0.37
Portuguese,0.46,0.53,15.37,0.44,0.05,0.07,19.53,1.04,17.36,4.31,31.72,6.2,0.94,0.49,0.09,1.41
Provencal,0.17,0.55,17.86,1.07,0.71,0.01,22.11,0.31,18.61,2.86,30.31,3.08,0.51,0.36,0.57,0.92
Pulliyar,0.08,0.67,0,63.88,0.13,4.27,0,2,0.17,0.26,0.9,1.74,4.03,4.07,16.64,1.16
Punjabi,2.16,0,1.85,61.64,0,2.82,9.2,1.64,3.45,0,3.8,0,1.08,1.16,10.78,0.43
Gujjar,0,0.11,8.2,54.21,1.93,0.82,25.24,0,2.66,0,0.26,0.43,1.39,0,4.52,0.23
Punjabi,0.47,0.22,0.91,73.15,0.39,1.75,3.64,0.86,1.62,0.19,3.25,1.74,1.92,0.7,9.12,0.07
Quechua,86.6,0.29,1.76,0.29,0.48,0.56,1.66,0.68,1.58,0.77,3.63,0.35,0.27,0.79,0.28,0.01
Roma,1.06,0,8.92,25.07,0.2,0.87,28.02,1.62,6.26,3.18,15.4,2.48,2.28,1.43,3.21,0
Romanian,0.27,0.37,14.8,3.92,0.21,0.39,29.88,0.55,17.2,2.57,24.36,0.81,0.54,1.53,1.2,1.39
Romanian,0.77,0.01,16.64,0.77,0.09,0.47,28.18,0.11,20.94,2.12,25.61,2.02,0.31,1.76,0.03,0.18
Romanian,0.1,0.07,15.73,1.48,0.33,0.3,28.89,0.25,19.37,2.92,25.75,2.64,0.45,0.93,0.49,0.31
Rushanvanch,2.04,0.19,16.13,26.09,1.27,0,30.48,0,9.72,1.18,5.33,0,1.05,4.81,0.63,1.08
Russian,0.6,0.18,17.93,0.51,1.37,0.41,18.21,0.46,37.36,0.11,15.31,0.38,0.23,6.38,0.41,0.14
Russian,0.7,0.24,18.85,1.08,0.22,0.51,20.26,0.71,32.56,0.35,20.69,0.51,0.39,2.06,0.14,0.74
Russian_cossack,0.95,0.52,17.81,1.31,0.28,0.05,19.69,0.42,31.49,0.53,21.75,0.54,0.34,2.14,0.4,1.79
Russian,1.03,0.39,18.81,1.03,0.32,0.02,17.06,0.27,31.72,0.13,20.28,0.36,0.47,6.36,0.34,1.41
Russian,0.69,0.81,19.9,0.1,1.05,0.28,15.77,0.09,34.54,0,16.53,0,0,8.88,0.25,1.12
Russian,1.15,0.37,18.69,0.49,0.37,0.25,21.71,0.35,31.4,0.62,20.12,0.61,0.26,1.9,0.24,1.48
Russian,0.54,0.63,19.24,0.86,0.65,0.12,20.35,0.03,33.38,0.15,19.17,0,0.47,2.74,0.23,1.45
Russian,1.29,0.25,20.54,2.44,1.02,0.29,14.11,0,32.85,0,17.43,0,0.31,9.18,0,0.29
Russians-West,0.32,0.45,19.53,0,0.97,0.54,20.7,0,36.25,0,17.97,0.26,0.52,1.84,0.53,0.13
Saami,3.34,0.28,16.55,1.57,4.56,0.41,8.44,0,31.42,0,12.86,0,0,20.09,0.49,0
Saami_WGA,1.41,0.19,16.1,0,4.16,0.36,10.66,0,38.86,0,9.56,0.68,0.51,17.12,0.2,0.2
Saharawi,0.14,0,2.24,0.16,0.85,0.33,4,5.82,0.57,13.72,11.47,51.95,0.39,0.29,0.2,7.87
Sahariya,0.13,0.3,0.06,56.3,0.35,4.4,0.87,2.75,0.97,0.38,1.42,1.2,2.7,4.03,23.79,0.35
Sakha,0.42,0.22,2.34,0.16,5.92,0.12,2.36,0.46,3.21,0.32,0,0.63,0.08,71.37,12.39,0
Sakilli,0.45,0.23,0.11,68.21,0.1,4.22,4.33,1.55,0,0,0.39,1.62,2.54,2.01,12.98,1.26
Samaritan,0.11,0.87,5.06,2.09,0,0.41,45.52,3.62,0.72,16.78,17.73,6.19,0.7,0.19,0,0
Santhal,0.2,0.73,0,58.18,1.71,4.17,0,1.88,0.33,0.24,1.01,1.5,3.38,1.8,24.04,0.78
Sardinian,0.32,0.26,6.99,0.01,0.19,0.2,19.13,0.4,9.07,1.14,57.13,3.22,0.58,0.47,0.79,0.1
Satnami,1.17,0.79,1.45,60.68,0.87,3.53,2.71,1.29,0.63,0.26,0.93,0.94,3.19,1.88,19.42,0.26
Saudi,0.5,0.49,2.8,3.14,0.2,0.34,34.72,4.98,0.24,35.38,8.33,5.24,0.55,0.93,0.33,1.83
Savara,0,0.72,0,51.58,1.04,3.47,0,2.12,1.14,0,0.52,1.67,4.8,3.5,29.01,0.43
Scottish,0.57,0.17,26.26,0.79,0.69,0.04,14.97,0.51,27.38,0,26.99,0.27,0.13,0.68,0.31,0.24
Scottish,0.8,0.34,21.48,2.51,0.24,0,17.18,0.13,26.23,0.06,28.45,1.24,0.6,0.68,0.03,0.02
Scottish,0.56,0.33,22.37,1.21,0.33,0.3,18.14,0,26.08,0.16,27.95,1.26,0.31,0.6,0.35,0.06
Scottish,0.74,0.33,22.16,2.14,0.57,0.18,18.17,0.35,25.59,0.13,27.83,0.56,0.58,0.21,0.09,0.37
Scottish,0.46,0.16,22.79,2.03,0.5,0.05,17.51,0.51,25.07,0.06,28.39,0.7,0.4,1.06,0,0.31
